predict,p1
0,9.09E-19
1,0.928063702
1,0.999989072
0,7.87E-05
1,1
1,1
1,1
0,2.53E-34
1,0.999999998
0,0.01082952
1,1
1,1
0,8.66E-16
1,1
0,1.11E-15
0,3.36E-16
1,1
1,0.999994841
1,0.999998678
1,0.999999007
1,0.999999496
1,1
1,1
0,1.24E-08
0,1.36E-05
1,1
0,2.88E-10
1,1
1,1
1,1
1,1
0,3.42E-05
1,0.455653304
1,0.999999993
0,8.78E-10
0,1.23E-15
1,0.994066231
1,1
1,0.999999338
1,1
1,1
0,5.04E-38
0,1.55E-11
1,1
1,1
1,1
1,0.999999999
1,1
1,1
0,0.056710897
1,1
0,8.31E-09
1,0.999999487
0,3.67E-26
1,0.99999999
0,6.23E-12
0,1.69E-20
1,1
0,1.34E-21
1,0.588246138
0,1.20E-13
1,1
1,0.654927407
0,1.27E-12
0,1.27E-08
0,2.13E-23
0,5.77E-12
1,1
1,0.992390373
0,7.48E-13
0,1.32E-17
1,1
1,0.99999988
0,4.89E-05
0,4.72E-13
0,1.02E-17
0,1.25E-04
0,1.20E-15
0,3.70E-13
1,0.477984685
1,0.994273791
0,3.93E-17
0,3.03E-17
1,1
0,1.21E-29
1,1
1,1
1,0.999999926
0,1.87E-11
0,3.42E-16
1,1
0,7.09E-09
1,1
1,1
1,1
0,1.05E-16
0,4.85E-09
1,1
1,0.999999998
1,1
1,1
0,7.39E-06
1,0.51155192
1,0.999998843
1,1
1,1
1,1
1,0.996466013
0,1.05E-06
1,1
1,0.999998428
1,1
0,1.33E-14
1,0.999994556
1,1
1,0.991479116
1,1
0,1.47E-19
0,4.42E-15
1,0.999989256
1,1
0,3.42E-12
1,0.695360966
0,0.001307916
0,1.96E-13
1,1
0,8.84E-20
1,0.999999999
1,0.754782129
1,0.999992797
0,1.27E-31
0,5.74E-04
1,0.812083859
0,2.17E-23
1,1
0,1.15E-19
0,4.73E-09
1,0.768922044
0,5.59E-16
1,1
1,0.999841158
0,1.54E-25
1,0.999902165
0,6.84E-07
1,0.999826376
0,1.00E-18
1,1
1,1
1,0.999999998
1,0.997525962
1,0.999999999
0,1.21E-07
1,0.159003479
0,1.23E-09
1,0.98713137
1,0.999868567
0,7.93E-12
0,1.41E-09
0,2.71E-10
0,6.25E-18
1,1
1,1
1,1
0,1.01E-20
0,3.10E-20
1,1
1,1
0,1.23E-21
0,1.05E-06
1,1
1,1
1,1
1,1
0,7.23E-08
1,1
0,7.70E-12
0,3.64E-17
1,1
0,4.24E-09
1,0.999790796
0,5.60E-06
0,1.78E-10
1,0.999999992
0,1.49E-14
0,6.10E-29
0,9.76E-17
0,8.01E-16
1,0.999672358
1,0.999999999
0,3.53E-24
1,1
0,6.36E-15
0,1.95E-14
0,9.64E-05
0,6.93E-05
1,1
1,0.999595142
1,1
0,5.56E-08
1,1
0,4.38E-19
0,7.90E-18
1,0.999999996
0,1.48E-22
1,1
1,0.316271867
0,3.67E-09
1,1
1,1
1,0.999999959
1,1
1,1
1,0.995060267
1,0.888842525
0,8.70E-11
0,7.78E-23
0,1.40E-21
0,1.86E-04
1,0.999999998
1,1
1,1
0,1.70E-09
1,1
1,1
1,0.999932625
0,7.07E-24
1,1
1,1
0,6.75E-07
1,0.999991792
1,1
1,0.999999998
0,5.17E-21
0,6.35E-10
1,0.99999241
1,0.273924229
1,1
1,1
1,1
0,4.54E-10
1,0.999999504
0,7.22E-09
1,0.999999499
1,0.492040513
0,8.66E-14
0,4.75E-12
1,0.99999965
1,0.999998948
1,1
0,1.98E-13
1,1
1,0.999999997
1,1
1,1
0,0.025339062
1,0.999999997
1,1
0,1.46E-07
1,1
0,6.36E-21
0,1.04E-09
0,1.88E-08
1,0.99999999
0,8.59E-19
1,1
1,1
0,0.031395332
1,1
0,5.01E-15
0,3.38E-05
1,1
1,1
0,4.83E-17
0,7.75E-12
0,9.46E-14
1,1
1,0.157272984
1,1
1,0.999999845
1,1
1,1
1,0.999845353
0,5.67E-12
0,2.72E-07
1,1
0,1.61E-04
0,0.00255893
0,7.40E-09
0,7.57E-08
0,4.20E-14
1,0.998720087
1,0.999999999
0,1.16E-18
0,9.22E-13
1,1
1,0.999999915
0,3.64E-19
1,0.99999999
1,1
0,8.50E-05
1,0.999999991
0,1.06E-12
1,1
1,1
1,1
0,3.71E-04
0,0.002032571
1,1
0,8.09E-08
1,1
1,0.847091457
1,1
1,0.282479595
1,0.999999959
1,1
0,8.77E-19
0,1.04E-13
1,1
1,1
1,0.999743875
1,1
0,6.26E-16
1,1
0,4.61E-15
1,0.999999947
0,9.11E-08
0,2.12E-19
1,1
1,1
1,1
1,1
1,1
1,0.999999969
0,1.75E-15
1,1
1,0.798043367
0,0.005781318
0,4.21E-11
0,6.44E-12
0,7.87E-16
1,0.910276154
1,0.918624054
0,5.19E-22
1,0.999442949
1,1
1,1
1,0.936456404
0,1.13E-09
0,2.00E-14
0,1.16E-10
1,1
1,0.999999396
0,4.98E-18
0,5.65E-18
1,0.942289572
0,1.06E-07
0,3.88E-14
1,1
1,1
0,0.005068432
1,1
1,1
1,1
1,1
0,6.07E-14
1,1
0,3.05E-12
0,5.57E-10
0,1.52E-11
1,1
0,4.05E-33
1,1
0,5.31E-16
0,3.04E-25
0,1.86E-07
1,0.999444893
0,1.03E-05
0,3.85E-19
1,1
0,1.13E-07
1,0.704482635
1,1
1,0.999998906
1,1
1,0.999998504
0,1.08E-33
0,4.71E-05
0,1.02E-17
0,6.97E-18
1,1
1,0.999999999
0,3.11E-06
1,1
0,3.19E-27
1,1
1,1
0,6.65E-11
1,0.989932041
0,3.21E-07
1,1
1,0.999999997
1,1
1,1
1,1
1,0.982242248
0,9.37E-12
0,2.44E-09
1,1
0,7.39E-06
1,1
1,1
1,0.999928238
1,1
1,0.999999577
0,3.40E-21
1,1
1,1
1,0.073708392
0,0.019445871
0,4.79E-20
1,1
1,1
1,1
0,3.29E-24
1,1
1,0.999999892
0,5.65E-10
1,0.570530715
0,2.20E-13
1,1
0,2.08E-10
1,1
0,1.35E-09
0,4.29E-16
0,3.98E-10
0,1.71E-10
1,0.99999997
1,1
1,0.999999998
0,8.59E-07
1,1
0,6.60E-08
1,1
1,0.999999206
1,1
0,7.54E-08
1,1
1,1
1,0.99999963
1,0.917705151
1,1
0,1.89E-15
1,1
0,3.46E-17
0,7.57E-12
0,3.38E-14
1,0.976346969
0,2.50E-13
0,7.36E-23
1,1
0,2.36E-12
1,1
0,4.73E-11
1,0.999993568
0,7.75E-19
1,0.999999909
0,1.92E-05
0,2.75E-09
0,2.94E-15
1,1
1,1
0,1.14E-07
1,1
1,1
1,0.942571298
0,4.11E-19
1,0.995562327
1,0.999914562
1,0.262917681
0,4.01E-11
1,1
1,1
1,0.999661798
1,0.999999953
1,1
0,0.005288534
1,0.999915047
0,8.92E-19
0,1.89E-21
0,1.72E-10
1,1
1,0.930452784
1,1
0,2.42E-05
1,1
1,1
1,1
0,0.032675137
0,3.96E-05
0,5.68E-14
0,8.06E-12
1,0.999999983
1,0.810888422
0,1.99E-07
0,2.32E-10
0,1.31E-10
1,1
1,1
0,7.01E-07
1,0.999999996
1,0.999982934
0,1.26E-13
1,0.999999871
1,0.999999999
1,0.999976342
0,1.54E-05
1,0.999999908
0,2.46E-10
1,1
1,1
0,0.020748281
1,1
1,0.767633453
1,0.999999963
1,0.999996427
0,5.19E-04
0,6.21E-25
1,1
1,1
0,7.62E-12
1,0.99999759
1,1
1,0.999999999
0,0.044050323
0,3.57E-09
1,1
0,9.91E-14
1,1
0,2.84E-07
1,0.999999598
1,0.998890431
0,2.75E-17
1,0.999999645
1,1
0,4.85E-12
1,1
0,3.66E-15
0,4.52E-08
0,0.026607166
1,1
0,4.80E-08
1,1
1,1
0,3.15E-05
0,4.69E-08
0,4.86E-17
1,1
0,1.55E-06
1,1
1,1
1,1
0,0.002201962
0,2.89E-19
1,0.999999982
0,6.95E-22
1,1
1,1
1,1
0,0.00907948
1,0.999999973
1,1
1,1
0,2.87E-08
1,0.999999604
1,1
0,6.62E-21
1,0.999997644
0,8.19E-07
1,0.999999991
0,4.50E-19
1,1
1,1
0,2.52E-20
1,1
1,0.999666253
0,4.72E-08
1,0.259393393
1,0.999992123
1,1
0,1.12E-09
0,2.19E-26
1,1
1,0.999999999
1,1
0,5.26E-05
0,7.79E-05
0,1.97E-15
1,0.9925831
0,2.57E-26
0,5.76E-19
0,7.63E-12
1,0.999999993
0,7.19E-18
1,0.999999908
1,0.999999431
1,0.999999996
1,0.999999862
1,0.999963157
1,1
0,3.47E-06
0,9.00E-06
0,1.34E-06
0,5.67E-20
1,1
1,1
0,9.58E-05
0,6.73E-19
0,1.57E-07
1,1
1,0.283324295
0,0.006606328
0,0.040505041
0,2.48E-16
1,0.99999979
0,1.45E-05
1,1
0,3.83E-05
1,0.999887066
0,0.002291446
1,1
1,0.999999872
0,3.82E-12
1,0.999999998
0,9.55E-11
1,0.999328338
1,0.999999984
1,1
0,0.035066075
1,1
0,8.81E-24
1,0.999999932
0,5.46E-26
0,7.99E-10
0,2.33E-09
1,0.999999872
1,1
1,0.930775356
1,1
1,1
1,1
0,8.55E-23
1,1
1,1
1,1
1,1
1,0.90658329
1,1
0,1.33E-20
0,2.13E-12
1,1
0,6.73E-16
0,1.51E-18
1,1
0,1.11E-12
1,1
0,0.020749516
1,1
1,1
1,1
0,2.34E-21
0,3.12E-08
1,0.949827331
1,0.999999982
0,2.00E-11
0,3.20E-23
1,1
1,0.999999359
1,1
0,4.88E-09
0,1.00E-22
1,1
0,0.00238347
0,0.007179568
1,0.841842747
1,1
0,6.26E-09
0,1.03E-04
0,1.48E-04
1,1
1,1
0,6.46E-15
0,5.95E-11
1,0.999999998
1,1
1,1
0,2.19E-21
0,3.15E-12
1,0.999999996
0,1.05E-07
1,1
1,1
1,1
1,0.452278231
1,0.736795429
0,0.030054431
1,1
0,5.75E-22
0,1.70E-14
1,1
1,1
1,0.999983123
1,1
1,1
0,1.53E-17
0,6.18E-05
1,0.999999997
1,1
1,1
0,1.13E-08
1,1
0,1.27E-10
1,1
1,1
1,0.999999255
1,1
0,0.015898841
0,3.08E-11
1,0.999998702
0,1.04E-28
0,0.05440681
1,1
1,0.999958591
1,0.829250777
1,0.973945137
0,1.89E-06
0,1.57E-14
0,1.03E-22
0,1.37E-13
0,0.003022453
0,1.92E-10
0,3.75E-13
1,0.616795549
0,4.10E-10
1,1
0,1.43E-05
1,0.997941145
1,0.999902985
1,0.999999716
1,1
0,2.07E-12
0,4.73E-09
1,1
0,3.99E-13
0,1.54E-07
1,1
0,5.60E-06
0,1.86E-05
1,0.967033665
1,1
0,2.38E-17
1,1
0,1.25E-05
1,1
0,3.20E-17
0,2.64E-12
0,0.001146484
1,1
1,1
1,0.454650628
0,7.35E-13
1,0.999998487
0,2.58E-11
1,1
0,2.52E-10
1,1
1,1
1,1
0,7.37E-23
0,2.50E-20
1,1
1,0.999999966
1,1
0,2.05E-15
0,5.07E-31
1,1
1,1
1,1
0,6.40E-18
1,1
1,0.999999997
0,1.78E-08
0,1.76E-23
1,0.754094071
1,1
1,1
0,3.18E-14
1,1
1,1
1,1
1,1
0,6.33E-07
1,0.998695106
1,0.897918767
1,0.999999987
0,2.54E-10
0,1.62E-04
0,6.64E-13
1,0.999998432
1,1
0,1.38E-18
1,1
0,6.82E-05
0,2.28E-08
0,4.17E-25
0,0.002527469
1,1
0,1.67E-12
0,3.59E-06
0,7.10E-21
0,9.57E-15
1,0.999996769
0,2.68E-07
0,3.37E-12
1,1
0,9.21E-18
1,1
0,5.12E-07
1,1
1,0.999943079
0,2.56E-29
1,1
1,0.999956677
1,0.998990413
1,1
1,0.999999999
1,1
0,1.35E-08
1,0.999999988
1,1
1,0.440134063
0,4.84E-10
0,0.022800817
1,1
0,8.23E-10
0,0.017886164
1,0.999182651
1,1
0,5.22E-22
0,2.26E-08
0,1.65E-15
1,0.999999977
0,3.74E-18
1,0.999990965
1,1
1,0.072365172
1,1
1,1
0,1.47E-20
0,1.26E-04
0,6.40E-12
1,0.99999983
0,7.19E-16
0,3.34E-20
1,1
0,2.80E-06
1,0.999924181
0,9.60E-14
1,0.999771328
1,1
1,1
0,1.95E-09
0,4.05E-21
0,6.95E-19
0,0.006383592
1,0.962117074
1,1
1,1
1,0.999731226
1,1
0,0.024326815
1,1
1,0.999998794
0,8.02E-10
0,3.68E-20
1,1
1,1
0,1.26E-14
1,1
0,4.10E-12
1,1
1,0.162603695
1,1
1,1
1,1
0,1.06E-27
1,0.997743937
1,0.999999966
0,6.48E-10
1,1
1,0.999776328
1,1
0,3.18E-09
0,5.28E-05
1,1
1,0.905155621
0,3.97E-14
1,1
1,1
1,1
1,1
1,1
1,0.999828617
1,1
0,2.88E-15
1,1
1,1
0,1.50E-16
1,1
0,6.11E-14
1,1
1,0.999999996
0,8.34E-15
0,3.79E-09
1,1
0,4.88E-14
0,1.09E-17
1,0.999999757
1,1
1,1
1,0.969621694
0,3.63E-12
0,0.004156113
1,0.999999969
1,1
1,0.999999984
1,0.733928883
0,1.10E-15
0,5.13E-15
1,1
1,1
0,2.60E-09
0,0.005294171
0,9.25E-09
0,4.66E-09
0,7.75E-15
1,1
1,1
1,0.999990635
0,1.32E-22
0,1.38E-05
1,0.211970572
1,0.999999999
0,2.45E-11
1,1
1,0.999957507
0,7.26E-06
1,1
0,6.40E-16
1,1
0,1.63E-07
1,1
0,1.87E-11
1,0.999882591
1,0.999997128
0,1.11E-05
1,0.999980424
1,1
1,1
0,1.71E-14
1,0.999999999
0,2.48E-14
0,1.38E-11
0,1.46E-05
1,1
1,0.999999997
1,0.999999961
0,1.43E-04
1,0.999997388
1,0.796567461
0,1.84E-22
0,8.49E-15
1,1
0,1.76E-18
0,5.13E-11
0,6.44E-07
1,1
1,1
1,0.999994737
1,0.576225338
1,1
0,6.36E-09
0,4.83E-16
1,1
1,0.999999976
0,1.11E-05
1,1
0,3.02E-16
1,1
1,0.99997022
1,0.999532712
0,6.16E-19
1,1
0,2.79E-10
1,0.999897394
0,2.88E-06
0,3.90E-08
1,0.439054349
1,0.999999998
0,2.07E-06
1,0.999999999
1,1
0,6.07E-16
0,2.36E-11
0,1.16E-09
1,1
0,7.27E-10
0,4.94E-12
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,3.54E-12
1,0.9917096
0,1.00E-04
1,1
0,5.73E-13
0,3.41E-11
1,1
1,1
1,0.999999997
0,5.26E-14
1,1
1,0.996699513
0,4.16E-11
1,0.999906607
1,0.204851608
0,7.09E-15
1,0.99999829
0,1.48E-10
0,1.33E-13
0,1.65E-14
1,1
1,0.999998669
0,0.005312301
1,1
1,1
1,1
1,0.99999478
0,1.23E-11
0,0.016933991
0,0.001257769
0,7.96E-05
0,1.86E-12
1,0.942171331
1,1
0,2.94E-15
1,0.999843806
1,0.999999999
0,1.54E-17
0,2.35E-06
1,1
0,9.81E-17
0,1.36E-10
1,1
0,6.54E-14
1,0.093649974
1,1
0,9.37E-24
0,0.039709974
1,0.999999999
1,1
1,0.999742286
0,0.013354329
0,1.30E-21
1,1
1,1
1,1
1,1
0,1.31E-05
0,4.48E-09
1,1
1,1
1,1
1,1
1,0.999999999
0,1.07E-08
1,1
1,1
0,9.71E-25
0,1.54E-24
0,1.24E-04
1,1
1,1
1,1
0,2.05E-18
0,1.22E-09
1,0.999715109
1,1
0,3.25E-10
0,3.49E-07
1,1
1,0.999998811
0,7.47E-05
0,4.48E-14
1,1
1,0.844960163
1,0.975858255
1,0.979832439
1,0.999999998
0,0.002735901
0,1.72E-19
1,1
0,0.015245567
1,1
0,1.73E-04
0,0.007983115
0,6.04E-24
1,0.99880344
1,1
1,1
1,0.999999658
1,1
0,7.71E-22
0,5.29E-25
1,0.984089453
0,2.78E-09
1,1
0,1.94E-09
0,5.50E-08
1,1
1,1
1,1
1,0.569138465
1,0.99986073
1,1
1,1
0,0.00294074
1,0.999999968
1,1
1,1
1,1
0,4.82E-07
1,1
1,1
0,3.63E-16
1,0.960770685
1,0.696000787
1,1
1,0.14525692
1,0.999994894
0,1.47E-12
0,6.26E-13
0,2.08E-22
0,1.83E-16
1,1
1,1
1,1
0,1.97E-20
0,3.36E-19
0,8.06E-16
0,1.33E-10
0,1.88E-10
0,0.001613193
0,2.15E-06
0,4.59E-19
0,3.68E-13
0,1.45E-09
0,9.74E-16
1,1
0,7.16E-07
0,2.20E-12
0,3.80E-12
0,1.17E-12
1,0.999999999
0,2.67E-13
1,1
1,0.998085342
0,2.33E-19
0,6.97E-14
1,0.76252212
0,1.69E-17
0,1.30E-09
0,8.33E-26
0,4.71E-08
0,3.83E-11
1,1
1,1
1,0.990068315
1,1
1,0.999999558
1,1
1,0.999528956
0,2.00E-08
1,1
1,0.999931688
1,1
0,3.36E-09
0,1.20E-17
1,1
1,0.999999996
0,1.50E-06
1,0.999786442
1,0.25126781
1,0.995782215
1,0.99983782
1,1
1,0.999999833
1,1
1,1
0,8.85E-12
0,1.96E-10
1,1
0,3.36E-05
0,7.12E-12
0,9.45E-06
0,2.08E-15
1,1
1,1
1,0.998846499
0,4.32E-10
1,1
1,0.189651637
0,7.67E-07
1,1
1,0.999307968
0,1.67E-16
1,0.999999767
1,1
0,2.68E-18
1,0.406663051
1,1
0,2.51E-04
0,0.025851704
1,1
0,1.55E-10
1,1
1,1
0,3.50E-17
1,0.999999999
1,1
1,1
1,0.999999999
0,1.65E-12
1,0.999578992
0,1.28E-20
1,1
1,1
0,1.67E-08
1,1
1,1
0,1.42E-14
0,5.92E-07
1,1
0,2.19E-24
0,2.01E-07
1,0.999999678
1,0.531785605
0,2.57E-22
0,6.61E-16
0,2.21E-12
1,1
0,5.99E-27
1,1
1,1
0,2.36E-12
0,6.96E-08
1,1
1,1
1,1
1,1
1,0.672737313
0,0.010649785
0,1.83E-18
0,5.24E-05
1,1
0,1.35E-13
0,2.18E-06
1,1
1,0.073991486
1,1
0,2.11E-06
1,1
0,1.67E-10
1,0.99999906
1,0.968303848
0,1.04E-07
1,1
1,0.999999988
0,3.63E-07
1,1
1,0.240809135
0,7.13E-09
0,5.55E-07
1,0.999999808
0,5.64E-21
0,6.20E-22
0,3.29E-24
1,0.999923863
1,1
1,1
1,0.978110146
0,1.69E-21
0,0.030492378
1,0.99999992
1,0.999999529
1,0.999999997
1,0.999329708
0,9.20E-11
1,1
1,0.998502254
0,1.17E-04
0,9.23E-11
1,1
1,1
1,1
0,3.75E-10
1,1
0,5.47E-07
1,0.991540082
0,9.40E-07
0,0.005565584
0,0.034910022
1,1
0,3.85E-17
0,5.94E-07
0,0.007724953
1,1
0,7.22E-09
1,1
0,2.44E-05
1,0.999999996
1,1
0,1.56E-07
1,1
0,2.41E-31
0,0.022677839
0,2.28E-20
0,2.29E-09
0,4.01E-09
1,0.999999995
0,1.57E-10
0,0.030958996
0,2.62E-04
1,0.998991254
1,1
1,1
1,0.992055243
0,7.05E-07
1,0.999999999
0,1.59E-06
1,1
0,8.68E-16
1,1
1,0.999999998
1,1
0,4.39E-17
1,0.991477267
1,1
1,1
0,9.21E-18
0,1.85E-17
0,1.39E-06
0,3.02E-13
0,6.91E-07
0,1.13E-10
1,1
1,1
0,1.18E-12
0,4.56E-17
1,0.968763707
1,0.999782229
1,1
1,0.999999997
0,2.32E-11
0,6.79E-15
1,1
0,1.79E-13
0,7.36E-13
1,1
1,1
0,6.14E-10
1,1
1,1
1,0.996861325
0,1.47E-17
1,0.999982712
0,2.46E-20
1,1
1,0.999998746
0,5.49E-07
0,0.004475268
0,8.54E-22
1,0.999896726
0,8.61E-10
0,5.80E-15
1,0.999999995
0,9.94E-19
1,0.454031407
0,3.81E-28
1,1
1,0.99999998
1,0.999999996
1,0.999999998
0,0.039298301
0,3.09E-23
0,8.82E-16
1,1
0,3.12E-08
1,1
0,7.90E-13
1,0.999981757
1,1
0,4.59E-23
1,0.999999995
1,0.99989899
0,1.98E-16
1,1
1,0.999999991
0,2.69E-05
0,1.49E-13
0,1.57E-09
1,1
1,0.999999832
0,2.63E-08
0,8.26E-06
1,0.999998081
0,1.78E-11
0,4.09E-09
1,1
1,1
1,0.996954152
0,1.96E-13
1,0.999999986
0,3.79E-21
1,0.999999991
0,6.67E-15
0,2.93E-16
1,1
0,1.12E-08
1,1
1,0.999705987
1,1
1,1
1,1
0,8.69E-26
1,1
0,2.82E-06
1,0.999999996
0,1.33E-18
1,1
1,0.313602112
1,1
0,1.30E-10
0,2.40E-04
0,1.87E-15
1,1
1,0.999999997
1,1
1,1
1,0.999999998
0,2.45E-09
1,1
1,1
1,1
0,2.44E-25
0,1.41E-29
0,3.59E-20
1,0.999794612
1,0.998118589
1,1
0,9.84E-18
0,1.03E-23
1,1
0,1.03E-09
0,0.00435063
1,1
1,0.999980802
1,1
1,1
1,0.999999999
1,1
0,8.39E-13
0,2.49E-09
1,1
1,1
1,0.491312953
0,2.16E-08
1,0.999993767
0,0.001757163
1,1
0,8.08E-07
1,0.981633176
0,3.69E-13
1,1
1,1
1,1
1,1
1,1
1,1
0,9.94E-12
1,1
1,1
1,1
1,1
1,0.999999998
1,1
0,2.46E-21
1,1
1,1
0,2.96E-10
0,1.42E-15
1,1
1,0.974875754
1,0.99690273
