test_id,is_female_rf,is_female_drf_h2o,is_female_more_epoch_nn,more-nn,is_female
43,0.005,0,1.18E-19,1.39E-07,0.001666667
44,0.91,0.922041978,1,0.99372226,0.944013993
45,0.035,0.114269611,2.39E-17,0.004028459,0.049756537
46,0.995,0.99425303,1,0.999830211,0.996417677
47,0.995,1,1,0.999997952,0.998333333
48,0.35,0.442467563,0.999983301,0.991848225,0.597483621
49,0.99,0.988495408,1,0.999857058,0.992831803
50,0.995,1,1,0.999506974,0.998333333
51,0.97,0.971158335,1,0.999578273,0.980386112
52,0.31,0.318156647,0.002325451,0.401962898,0.210160699
53,0.405,0.523988233,3.81E-04,0.034984577,0.309789865
54,0.765,0.773868513,0.999999761,0.999361413,0.846289425
55,0.2,0.166364488,0.008142859,0.091269008,0.124835782
56,0.48,0.615891566,6.20E-17,0.99597757,0.365297189
57,1,0.997127845,1,0.998036848,0.999042615
58,0.695,0.883002433,1,0.846826706,0.859334144
59,0.23,0.217699702,5.91E-11,1.76E-04,0.149233234
60,0.165,0.217699702,3.65E-14,0.01275772,0.127566567
61,0.8,0.749103047,0.99999606,0.992741979,0.849699702
62,0.065,0.076584493,2.63E-11,0.145157516,0.047194831
63,0.17,0.192126011,5.62E-08,0.039915808,0.120708689
64,0.995,0.988495408,1,0.999760042,0.994498469
65,0.245,0.289750539,1.32E-08,0.304553488,0.178250184
66,0.115,0.096548246,4.55E-09,0.013021367,0.070516083
67,0.01,0,1.04E-22,1.20E-04,0.003333333
68,0.95,0.956636757,1,0.998717842,0.968878919
69,1,0.988495408,1,0.999253808,0.996165136
70,0.015,0.007732399,4.25E-19,3.83E-06,0.007577466
71,0.995,0.974054557,1,0.999962706,0.989684852
72,1,1,1,0.99991068,1
73,0.03,0.030830364,2.08E-18,7.04E-04,0.020276788
74,0.395,0.443149438,0.622194982,0.425277042,0.486781473
75,0.955,0.959546481,1,0.999532822,0.971515494
76,0.005,0.015448224,2.53E-15,1.87E-04,0.006816075
77,1,0.99425303,1,0.999834415,0.998084343
78,0.81,0.810662604,0.935007024,0.578893414,0.851889876
79,0.01,0.007732399,4.80E-10,0.001038486,0.0059108
80,0.665,0.682119948,0.785662433,0.701789306,0.71092746
81,0.04,0.030830364,3.22E-18,0.0017301,0.023610121
82,0.875,0.834959066,1,0.986559459,0.903319689
83,0.165,0.151558488,0.687442778,0.154215489,0.334667089
84,0.855,0.918562208,1,0.999524169,0.924520736
85,0.055,0.024054499,6.14E-16,0.00142007,0.0263515
86,0.605,0.74599395,0.999412139,0.735605435,0.783468697
87,0.295,0.318156647,0.037300559,0.036930837,0.216819069
88,0.425,0.411247035,0.003594362,0.196795607,0.279947132
89,0.415,0.510076706,0.999999832,0.398146404,0.641692179
90,1,0.988495408,1,0.999376819,0.996165136
91,0.24,0.19544198,9.36E-06,0.059064975,0.145150446
92,0.245,0.289750539,1.72E-09,0.240621979,0.17825018
93,0.12,0.080371015,3.59E-16,0.005595075,0.066790338
94,0.04,0.046146843,1.88E-13,1.33E-04,0.028715614
95,0.02,0.007732399,1.07E-12,1.87E-04,0.009244133
96,0.965,0.99425303,1,0.999870741,0.986417677
97,0.93,0.930326767,1,0.951671934,0.953442256
98,0.585,0.586628087,3.19E-05,0.415293749,0.390553333
99,0.665,0.534510394,0.851510017,0.550156003,0.68367347
100,0.985,1,1,0.981294055,0.995
101,0,0.01159238,2.47E-15,2.04E-05,0.003864127
102,1,1,1,0.999861699,1
103,1,1,1,0.999943427,1
104,0.14,0.164209151,0.013706269,2.14E-04,0.105971807
105,0.99,0.99425303,1,0.999000989,0.99475101
106,0.99,1,1,0.999971734,0.996666667
107,0.995,1,1,0.999958949,0.998333333
108,0.225,0.260338759,3.84E-10,2.03E-04,0.161779587
109,0.025,0.026991001,1.62E-14,8.15E-06,0.017330334
110,0.98,0.955666247,1,0.999913197,0.978555416
111,0,0.015448224,7.27E-21,1.83E-04,0.005149408
112,0.03,0.023147528,1.43E-13,1.94E-07,0.017715843
113,0.965,0.950809171,0.999999991,0.692094258,0.971936388
114,0.985,0.988495408,1,0.972675457,0.991165136
115,0.025,0.007732399,1.07E-20,8.30E-05,0.0109108
116,0.1,0.099410772,2.02E-07,0.00549756,0.066470325
117,0.015,0.010306179,1.81E-15,7.03E-05,0.008435393
118,0.455,0.477912367,0.002381131,0.088377729,0.311764499
119,0.69,0.749103047,0.999999988,5.06E-04,0.813034345
120,0.685,0.755312272,1,0.999908668,0.813437424
121,0.985,0.99425303,1,0.97601317,0.993084343
122,0.66,0.694784916,0.441502866,0.754457805,0.598762594
123,0.31,0.388161604,0.98541822,0.007661378,0.561193275
124,0.945,0.97694809,1,0.999991652,0.973982697
125,0.18,0.214548496,0.260718738,0.005870607,0.218422411
126,0.965,0.96825942,1,0.951434573,0.97775314
127,0.89,0.900832448,0.999962192,0.999728569,0.93026488
128,0.09,0.158969264,2.83E-04,5.63E-06,0.083084146
129,0.07,0.084153518,3.08E-14,0.003545409,0.051384506
130,0.895,0.936192555,1,0.996865794,0.943730852
131,0.9,0.909709807,1,0.994070702,0.936569936
132,0.04,0.05378059,4.71E-08,1.99E-04,0.031260213
133,0.02,0.003094952,3.31E-25,5.50E-04,0.007698317
134,0.99,1,1,0.999921454,0.996666667
135,0.07,0.040410831,4.68E-16,8.38E-05,0.03680361
136,0.945,0.936192555,1,0.999046616,0.960397518
137,0.015,0.023147528,3.67E-39,2.81E-05,0.012715843
138,0.995,1,1,0.999924084,0.998333333
139,0.99,0.971158335,1,0.999850858,0.987052778
140,0.355,0.343623697,2.05E-06,0.15813978,0.232875251
141,0.995,0.99425303,1,0.999999976,0.996417677
142,0.765,0.781056034,1,0.945328343,0.848685345
143,0.05,0.087932008,1.18E-11,0.003354524,0.045977336
144,0.955,0.936192555,1,0.995276891,0.963730852
145,0.915,0.920526029,1,0.999160367,0.945175343
146,0.95,0.96825942,1,0.952348155,0.97275314
147,0.51,0.533957422,0.932237857,0.92173189,0.65873176
148,1,0.99425303,1,0.999997037,0.998084343
149,0.46,0.440457671,0.833332288,0.182275089,0.577929987
150,0.97,0.992335007,1,0.995828243,0.987445002
151,0.455,0.497257524,0.999624793,0.998372452,0.650627439
152,0.99,1,1,0.996075089,0.996666667
153,0.84,0.834959066,1,0.999241189,0.891653022
154,0.98,0.988495408,0.999999998,0.98858622,0.989498469
155,0.89,0.852308449,1,0.997031104,0.914102816
156,0.995,0.99425303,1,0.999688954,0.996417677
157,1,0.982727105,1,0.999298075,0.994242368
158,0.005,0.023147528,2.36E-16,2.52E-04,0.009382509
159,0.02,0.015448224,5.37E-19,2.13E-05,0.011816075
160,0.15,0.099243465,1.82E-17,0.036917532,0.083081155
161,0.875,0.947891302,0.99999999,0.988958028,0.940963764
162,1,1,1,0.999741667,1
163,0.28,0.239472062,3.25E-09,0.07312234,0.173157355
164,0.935,0.936192555,1,0.999414673,0.957064185
165,0.105,0.121758885,4.36E-13,0.011837424,0.075586295
166,0.145,0.181108479,1.94E-07,0.013885185,0.108702891
167,1,0.97694809,1,0.999980364,0.99231603
168,0.85,0.853060627,0.67030796,0.995077607,0.791122862
169,0.365,0.408886495,5.84E-13,0.068992552,0.257962165
170,0.585,0.547518243,1,0.35651129,0.710839414
171,0.985,0.99425303,1,0.999990048,0.993084343
172,0.305,0.339308595,4.01E-09,0.016093301,0.214769533
173,0.015,0.046146843,9.18E-10,0.003470706,0.020382281
174,0.85,0.85606756,0.999997334,0.952148195,0.902021631
175,0.99,0.982727105,1,0.999426183,0.990909035
176,0.765,0.834959066,0.999999994,0.997164603,0.86665302
177,0.49,0.449960623,0.007848109,0.616203854,0.315936244
178,0.18,0.20797936,1.46E-10,4.83E-04,0.129326454
179,0.235,0.217699702,3.65E-04,0.001785479,0.151021467
180,0.845,0.847038211,1,0.811958262,0.89734607
181,0.995,0.991375552,1,0.999999329,0.995458517
182,0.31,0.360100665,5.88E-09,0.023807624,0.22336689
183,0.01,0.030830364,1.24E-16,6.08E-06,0.013610121
184,0.035,0.077780671,1.15E-09,4.53E-04,0.037593557
185,0.99,0.991375552,1,0.994313394,0.993791851
186,0.235,0.193592405,1.09E-13,6.59E-04,0.142864135
187,0.765,0.894900291,0.999999899,0.305141214,0.886633397
188,0.38325504,0.319625067,5.23E-05,0.039357666,0.234310788
189,0.985,1,1,0.999828026,0.995
190,0.02,0.023147528,2.35E-12,3.15E-04,0.014382509
191,0.11,0.136690085,1.48E-12,0.002353526,0.082230028
192,0.015,0.007732399,1.49E-12,1.70E-04,0.007577466
193,0.9,0.988495408,1,0.999968785,0.962831803
194,0.14,0.140661116,0.084161403,0.035039703,0.121607506
195,0.505,0.65109511,6.62E-08,0.684432236,0.385365059
196,0.935,0.918562208,1,0.980215438,0.951187403
197,0.99,1,0.999999896,0.999797982,0.996666632
198,0.92,0.936192555,1,0.999275415,0.952064185
199,0.365,0.40199221,1.15E-06,0.066994367,0.255664454
200,0.71,0.705301559,0.920232493,0.765398535,0.77851135
201,0.09,0.106764488,0.001749898,0.918280283,0.066171462
202,0.985,1,1,0.99999794,0.995
203,0.545,0.692677503,0.999999992,0.943857971,0.745892498
204,0.14,0.189680657,5.49E-04,0.057064953,0.11007659
205,0.925,0.880020956,0.999999999,0.996008405,0.935006985
206,0.805,0.912663376,1,0.930395941,0.905887792
207,0.625,0.517325543,0.209672521,0.993321226,0.450666021
208,0.97,0.965357808,1,0.999410807,0.978452603
209,0.995,1,0.999999952,0.991535303,0.998333317
210,0.97,0.940096993,1,0.999539549,0.970032331
211,0.83,0.888956963,1,0.999416452,0.906318988
212,0.19,0.188457341,1.68E-12,0.02690923,0.126152447
213,0.905,0.933261032,1,0.999371386,0.946087011
214,0.975,0.959546481,1,0.999923224,0.97818216
215,0.45,0.437114066,0.219458107,0.067795008,0.368857391
216,0.915,0.908903808,1,0.994847858,0.941301269
217,0.98,0.97694809,0.999999998,0.999978207,0.985649363
218,0.205,0.264702332,1.15E-08,0.24186484,0.156567448
219,0.105,0.114269611,2.44E-07,0.010173619,0.073089952
220,0.035,0.007732399,2.06E-22,1.18E-05,0.014244133
221,0.145,0.186254297,2.34E-13,0.001572238,0.110418099
222,0.01,0,5.19E-16,0.006012554,0.003333333
223,0.44,0.490541402,0.839695574,0.800277265,0.590078992
224,0.93,0.909709807,1,0.999801294,0.946569936
225,0.32,0.266814202,7.49E-11,0.014519566,0.195604734
226,0.59,0.6216908,0.008774025,0.641788847,0.406821608
227,0.235,0.271877454,7.04E-13,0.318593401,0.168959151
228,0.37,0.429485789,1.67E-11,0.152319615,0.266495263
229,0.825,0.888956963,1,0.944864616,0.904652321
230,0.375,0.439738693,0.779988772,0.34292225,0.531575821
231,0.965,1,0.999999557,0.998335982,0.988333186
232,0.085,0.129232359,2.00E-09,1.12E-04,0.071410787
233,0.92,0.939121339,0.998744445,0.688977436,0.952621928
234,0.025,0,4.43E-16,6.66E-04,0.008333333
235,0.035,0.030830364,2.05E-14,2.02E-06,0.021943455
236,0.41,0.367309965,0.999999992,0.362336537,0.592436652
237,0.99,1,1,0.999998422,0.996666667
238,0.025,0.031890036,3.44E-17,0.004499274,0.018963345
239,0.14,0.114269611,3.41E-17,0.001600281,0.084756537
240,0.49,0.581836679,0.999979841,0.930273173,0.690605507
241,0.89,0.909709807,0.999999935,0.885617706,0.933236581
242,0.445,0.470312124,3.46E-11,0.104740925,0.305104041
243,0.645,0.751432906,0.463996657,0.724854203,0.620143188
244,0.8,0.85606756,1,0.99161853,0.885355853
245,0.505,0.559299628,0.213710067,0.771881258,0.426003232
246,0.255,0.168453743,3.35E-12,0.006708748,0.141151248
247,0.015,0.007732399,7.12E-31,4.86E-04,0.007577466
248,0.985,1,1,0.999995321,0.995
249,0.335,0.299583849,3.61E-11,0.0735823,0.21152795
250,0.075,0.116143413,1.65E-11,3.77E-04,0.063714471
251,0.445,0.503960228,1,0.889084561,0.649653409
252,0.52,0.573538523,0.937909108,0.269008672,0.67714921
253,0.86,0.939121339,1,0.993464777,0.933040446
254,0.165,0.170056284,3.22E-11,0.041474209,0.111685428
255,0.03,0.015448224,4.62E-14,5.79E-05,0.015149408
256,0.91,0.912663376,0.999994481,0.999671325,0.940885952
257,0.215,0.217699702,6.70E-14,4.52E-05,0.144233234
258,0.015,0.023147528,1.55E-09,5.42E-05,0.012715843
259,0.97,0.953724322,1,0.99705897,0.974574774
260,0.015,0.007732399,2.10E-12,2.40E-04,0.007577466
261,0.645,0.752209153,0.999999997,0.992473493,0.799069717
262,0.505,0.38294777,7.26E-06,0.047493748,0.295985011
263,0.93,0.912663376,1,0.99734879,0.947554459
264,0.995,0.944970709,1,0.999194919,0.979990236
265,0.46,0.454493798,8.94E-11,3.41E-04,0.304831266
266,0.565,0.551146975,0.996388748,0.742966402,0.704178574
267,0.7,0.806271401,0.731662114,0.995195206,0.745977838
268,0.015,0.015448224,2.09E-19,8.16E-07,0.010149408
269,0.99,0.99425303,0.999999864,0.99988815,0.994750965
270,0.975,0.971158335,1,0.999794017,0.982052778
271,0.81,0.73352757,1,0.962178717,0.847842523
272,0.815,0.834959066,0.973973634,0.58790526,0.874644233
273,0.95,0.969820709,1,0.997811439,0.97327357
274,0.42,0.384695164,0.819753258,0.223990681,0.541482807
275,0.525,0.639009597,0.371425465,0.632153877,0.511811687
276,0.06,0.076584493,3.13E-21,0.001055067,0.045528164
277,0.255,0.17374421,3.25E-17,0.003075196,0.142914737
278,0.96,0.959546481,1,0.999993998,0.97318216
279,0.99,0.99425303,1,0.999978631,0.99475101
280,0.16,0.151558488,9.76E-04,1.32E-06,0.104178246
281,0.04,0.05378059,1.34E-08,0.006911296,0.031260201
282,0.96,0.965357808,1,0.999968759,0.975119269
283,0.15,0.084153518,2.58E-06,0.133324382,0.078052032
284,0.11,0.151558488,6.25E-12,0.03164777,0.087186163
285,0.21,0.166364488,7.72E-16,0.001833033,0.125454829
286,0.01,0.026991001,2.85E-30,1.81E-07,0.012330334
287,0.51,0.499086122,0.759942139,0.168099891,0.589676087
288,0.055,0.030830364,5.89E-25,7.34E-05,0.028610121
289,0.99,0.964852905,0.999999812,0.999876488,0.984950905
290,0.96,0.947891302,1,0.999819807,0.969297101
291,0.99,0.985442933,0.999970484,0.984712178,0.991804472
292,0.21,0.171637298,3.07E-08,0.028108423,0.127212443
293,0.035,0.023147528,1.74E-11,0.009381101,0.019382509
294,0.04,0.038496784,1.45E-19,3.87E-05,0.026165595
295,0.535,0.468432877,4.13E-04,0.342920933,0.334615131
296,0.09,0.076584493,2.91E-10,0.005701471,0.055528164
297,0.19,0.195790847,1.66E-17,0.004124512,0.128596949
298,0.05,0.015448224,6.15E-21,1.90E-07,0.021816075
299,0.04,0.046146843,5.04E-20,1.24E-04,0.028715614
300,0.095,0.21041198,0.001256941,0.002404698,0.102222974
301,0.95,0.930326767,1,0.999858163,0.960108922
302,0.955,0.971158335,1,0.999847219,0.975386112
303,0.36,0.422633242,6.88E-10,0.384535365,0.260877748
304,0.98,0.965357808,1,0.995721193,0.981785936
305,0.02,0,7.12E-10,0.005212072,0.006666667
306,0.965,0.982727105,1,0.992629258,0.982575702
307,0.3,0.355670523,1.23E-06,0.001651852,0.218557251
308,0.005,0,3.97E-12,3.92E-05,0.001666667
309,0.52,0.54940607,1,0.983949782,0.689802023
310,0.025,0.023147528,2.09E-21,1.49E-04,0.016049176
311,0.16,0.166364488,6.98E-06,0.001033799,0.108790489
312,0.255,0.335792295,0.999999999,0.387522526,0.530264098
313,1,0.99425303,1,0.999716247,0.998084343
314,0.15,0.173860929,3.15E-07,0.055600064,0.107953748
315,0.78,0.736648673,1,0.998592051,0.838882891
316,0.275,0.282612371,2.28E-08,0.011437081,0.185870798
317,0.97,0.953724322,1,0.999999511,0.974574774
318,0.985,0.99425303,1,0.996777476,0.993084343
319,1,0.988495408,0.999988204,0.999976695,0.996161204
320,0.355,0.378620406,0.165048117,0.208950766,0.299556174
321,0.99,1,1,0.999920337,0.996666667
322,0.995,1,1,0.999944283,0.998333333
323,0.98,0.976534893,1,0.999985409,0.985511631
324,0.645,0.794361767,0.99987288,0.831190746,0.813078216
325,0.105,0.17374421,5.72E-04,0.16660655,0.093105259
326,0.995,1,1,0.999975867,0.998333333
327,0.79,0.816754073,1,0.999918826,0.868918024
328,0.7,0.667281752,0.997166157,0.903234571,0.788149303
329,0.98,0.97694809,1,0.999963872,0.985649363
330,0.045,0.046146843,2.61E-13,0.007777773,0.030382281
331,0.79,0.834959066,0.999999815,0.673464557,0.874986293
332,0.25,0.263505034,9.28E-04,0.970838884,0.171477651
333,0.985,0.982727105,0.999999999,0.99820125,0.989242368
334,0.515,0.487963322,0.622399015,0.350692322,0.541787446
335,0.01,0.015448224,2.32E-20,1.96E-05,0.008482741
336,0.985,0.982727105,1,0.998304169,0.989242368
337,0.995,0.99425303,1,0.999995521,0.996417677
338,0.035,0.015448224,1.08E-13,0.001202185,0.016816075
339,0.125,0.099941373,0.021355515,0.015091993,0.082098962
340,1,1,1,0.999920157,1
341,0.88,0.894900291,1,0.998991261,0.924966764
342,0.79,0.764603754,0.980466588,0.003873749,0.845023447
343,0.785,0.830518542,0.999999999,0.9659614,0.871839514
344,0.98,1,1,0.99996267,0.993333333
345,0.26,0.192126011,9.22E-07,0.328692226,0.150708978
346,0.655,0.571353765,0.875883246,0.785605461,0.70074567
347,0.22,0.21041198,2.27E-07,0.025944576,0.143470736
348,0.265,0.21041198,3.83E-04,0.00905804,0.1585983
349,0.295,0.333054905,2.48E-04,0.051722954,0.209434192
350,0.92,0.954695435,1,0.991356491,0.958231812
351,0.005,0,4.41E-15,2.11E-06,0.001666667
352,0.175,0.158969264,4.10E-11,0.0034225,0.111323088
353,0.025,0.030830364,9.90E-07,0.00311111,0.018610451
354,0.955,0.953724322,1,0.999996624,0.969574774
355,0.8,0.867068675,1,0.999607097,0.889022892
356,0.48,0.599356262,0.998054982,0.97226599,0.692470415
357,1,1,1,0.99999879,1
358,0.005,0,1.48E-22,8.99E-07,0.001666667
359,0.115,0.120511771,0.997937739,0.374352687,0.411149837
360,0.965,0.940180606,0.999999993,0.995248347,0.968393533
361,0.905,0.908527604,1,0.999976062,0.937842535
362,0.945,0.912663376,1,0.982186871,0.952554459
363,1,0.997127845,1,0.999911901,0.999042615
364,0.95,0.97694809,1,0.9715895,0.975649363
365,0.875,0.880020956,0.999821172,0.972308323,0.918280709
366,0.985,0.97694809,1,0.998753511,0.98731603
367,0.805,0.881512046,1,0.999534235,0.895504015
368,0.83,0.859071649,1,0.999539007,0.896357216
369,0.075,0.08541346,6.78E-04,0.022777337,0.053697115
370,0.95,0.947891302,0.999999717,0.916727568,0.965963673
371,0.225,0.237300932,0.008424518,0.035373003,0.156908483
372,0.055,0.039453935,2.01E-16,2.79E-04,0.031484645
373,0.705,0.673649234,0.999500511,0.92521342,0.792716582
374,0.92,0.928971565,1,0.99999345,0.949657188
375,0.05,0.05378059,6.00E-09,8.28E-04,0.034593532
376,0.44,0.525319179,0.052615584,0.189614698,0.339311588
377,0.085,0.06139808,1.45E-16,8.00E-04,0.04879936
378,0.18,0.2611092,0.954686645,0.002638966,0.465265282
379,0.455,0.487178297,6.94E-07,0.006436636,0.314059663
380,0.825,0.894360451,0.999998189,0.997023228,0.90645288
381,0.92,0.8859811,1,0.999990969,0.935327033
382,0.985,1,1,0.99983483,0.995
383,0.205,0.181108479,3.01E-09,0.02046079,0.128702827
384,0.015,0.015448224,5.55E-18,9.95E-04,0.010149408
385,0.045,0.091706492,2.51E-11,4.62E-04,0.045568831
386,0.98,0.965357808,1,0.999250445,0.981785936
387,0.94,0.94204739,1,0.990855809,0.960682463
388,0.955,0.965357808,1,0.999999026,0.973452603
389,0.29,0.374274666,0.592585385,0.902570169,0.41895335
390,0.025,0.05378059,3.88E-11,5.34E-05,0.026260197
391,0.09,0.114269611,3.52E-18,7.27E-04,0.06808987
392,0.695,0.648104616,0.119272079,0.767651793,0.487458898
393,0.02,3.52E-04,3.26E-25,0.001352212,0.006783944
394,0.98,0.991375552,1,0.999656683,0.990458517
395,0.94,0.971158335,1,0.999852103,0.970386112
396,0.025,0.015448224,9.83E-21,3.47E-05,0.013482741
397,0.02,0.015448224,1.84E-21,1.80E-04,0.011816075
398,0.995,0.997127845,1,0.999977486,0.997375948
399,0.365,0.35333788,0.010348743,0.393169189,0.242895541
400,0.965,0.988495408,0.999999997,0.999558882,0.984498468
401,0.01,0.015448224,1.58E-15,0.001004642,0.008482741
402,0.995,0.97694809,1,0.999263647,0.990649363
403,0.04,0.049965752,1.42E-17,4.80E-04,0.029988584
404,0.225,0.282612371,1.16E-17,0.003123399,0.169204124
405,0.015,0.030830364,2.84E-10,2.07E-05,0.015276788
406,0.225,0.228961961,0.6513635,0.171066715,0.36844182
407,1,1,1,0.99803866,1
408,0.935,0.936192555,1,0.999997316,0.957064185
409,0.015,0.023147528,2.14E-15,1.55E-04,0.012715843
410,0.99,0.987994241,0.999998747,0.999429108,0.992664329
411,0.025,0.046146843,7.17E-30,2.90E-05,0.023715614
412,0.22,0.246699404,0.536775567,0.402333354,0.334491657
413,0.005,0.015448224,3.00E-23,3.21E-05,0.006816075
414,0.145,0.121758885,3.21E-12,0.177827506,0.088919628
415,0.91,0.92150748,1,0.999959774,0.943835827
416,0.005,0.030830364,4.86E-14,6.21E-04,0.011943455
417,0.075,0.06139808,1.02E-17,1.71E-04,0.045466027
418,1,0.99425303,1,0.99991221,0.998084343
419,0.035,0.030830364,3.02E-09,9.95E-04,0.021943456
420,0.7,0.730403455,0.999998918,0.460052048,0.810134124
421,1,0.988495408,0.490772742,0.99916359,0.826422717
422,0.995,1,1,0.994207437,0.998333333
423,0.155,0.188457341,8.73E-11,0.01641157,0.114485781
424,0.995,0.982727105,1,0.999792806,0.992575702
425,0.805,0.850050845,1,0.965108511,0.885016948
426,0.975,0.991375552,1,0.999701414,0.988791851
427,0.99,0.988495408,0.999999994,0.999987504,0.992831801
428,0.515,0.507293476,0.998050507,0.361403941,0.673447994
429,0.695,0.602917576,0.941266592,0.994246733,0.746394723
430,0.71,0.717876782,1,0.760455729,0.809292261
431,0.3,0.346486287,0.905519363,0.403483625,0.517335217
432,0.58,0.615891566,0.999996705,0.631067937,0.731962757
433,0.26,0.332272393,0.023884173,0.016956938,0.205385522
434,0.08,0.053953895,1.77E-09,0.032884137,0.044651299
435,0.98,0.965357808,1,0.99366623,0.981785936
436,0.565,0.705301559,0.999976141,0.96868259,0.756759233
437,0.96,1,0.999999998,0.999919429,0.986666666
438,0.96,0.953724322,1,0.999981555,0.971241441
439,0.915,0.947891302,1,0.996279592,0.954297101
440,0.24,0.325221758,1.33E-04,0.128758415,0.188451655
441,0.09,0.113019859,1.28E-14,9.53E-04,0.067673286
442,0.195,0.110519033,0.00477502,0.093127389,0.103431351
443,0.18,0.227877045,1.64E-08,0.00110821,0.13595902
444,0.97,0.988495408,1,0.989042719,0.986165136
445,0.04,0.046146843,0.995320325,0.00629058,0.360489056
446,0.785,0.813912832,1,0.99996176,0.866304277
447,0.09,0.054434154,1.41E-15,0.132480096,0.048144718
448,0.445,0.396236281,1.23E-17,0.475921164,0.280412094
449,0.875,0.888362015,0.999998888,0.972841579,0.921120301
450,0.075,0.030830364,5.29E-15,1.51E-05,0.035276788
451,0.055,0.046146843,3.12E-14,7.20E-05,0.033715614
452,0.98,0.99425303,1,0.996834177,0.991417677
453,0.87,0.894900291,0.999999996,0.964145163,0.921633429
454,0.405,0.456758106,5.90E-07,0.024988014,0.287252898
455,0.815,0.799705288,0.999999861,0.879793607,0.871568383
456,0.995,0.99425303,0.991652736,0.982719198,0.993635255
457,1,1,1,0.999435953,1
458,0.37,0.382382246,1,0.998483625,0.584127415
459,0.995,1,1,0.999906147,0.998333333
460,0.92,0.971158335,0.962170034,0.993396234,0.951109456
461,0.75,0.711023606,0.999923295,0.680448513,0.820315634
462,0.025,0.026991001,6.36E-14,2.55E-06,0.017330334
463,0.985,0.991375552,1,0.884547835,0.992125184
464,0.2,0.195790847,0.076992135,0.022419995,0.157594327
465,0.975,1,1,0.999998453,0.991666667
466,0.055,0.099243465,1.18E-19,8.48E-05,0.051414488
467,0.995,0.975501659,0.999994145,0.990728273,0.990165268
468,0.975,0.988495408,1,0.996004118,0.987831803
469,0.355,0.389505842,1.82E-08,0.100774358,0.24816862
470,0.05,0.084153518,9.09E-19,5.33E-04,0.044717839
471,0.6,0.565879014,0.928063702,0.660480463,0.697980905
472,0.97,0.953724322,0.999989072,0.99994504,0.974571131
473,0.31,0.377751701,7.87E-05,0.805831489,0.229276789
474,0.86,0.900832448,1,0.974090895,0.920277483
475,0.995,0.99425303,1,0.999447544,0.996417677
476,0.99,0.99375279,1,0.988069202,0.994584263
477,0.025,0.007732399,2.53E-34,9.18E-05,0.0109108
478,0.66,0.694034451,0.999999998,0.946948125,0.784678149
479,0.35,0.436324506,0.01082952,0.003570969,0.265718009
480,0.765,0.773868513,1,0.951330588,0.846289504
481,0.99,0.991375552,1,0.999338901,0.993791851
482,0.03,0.06139808,8.66E-16,6.41E-05,0.030466027
483,1,0.99425303,1,0.996404646,0.998084343
484,0.04,0.076584493,1.11E-15,2.63E-04,0.038861498
